FUNC __main__.calculate_Julia_set 121.8398 1776413423.9085 129.4727 1776413424.9253 1
FUNC __main__.build_Julia_set 45.2109 1776413423.6527 54.9102 1776413424.9511 0
CMDLINE /usr/bin/python3 memory_julia1.py
MEM 4.082031 1776413423.3614
MEM 25.656250 1776413423.4618
MEM 37.656250 1776413423.5631
MEM 49.128906 1776413423.6634
MEM 81.128906 1776413423.7638
MEM 114.957031 1776413423.8641
MEM 129.472656 1776413423.9705
MEM 129.472656 1776413424.0709
MEM 129.472656 1776413424.1712
MEM 129.472656 1776413424.2715
MEM 129.472656 1776413424.3719
MEM 129.472656 1776413424.4730
MEM 129.472656 1776413424.5734
MEM 129.472656 1776413424.6737
MEM 129.472656 1776413424.7740
MEM 129.472656 1776413424.8743
MEM 47.300781 1776413424.9746
