FUNC __main__.calculate_Julia_set 121.8594 1776413427.0644 129.4922 1776413428.0647 1
FUNC __main__.build_Julia_set 45.2109 1776413426.7732 55.1016 1776413428.0868 0
CMDLINE /usr/bin/python3 memory_julia1_sleep.py
MEM 0.480469 1776413426.5003
MEM 25.972656 1776413426.6006
MEM 38.691406 1776413426.7009
MEM 54.699219 1776413426.8012
MEM 88.117188 1776413426.9015
MEM 109.554688 1776413427.0019
MEM 129.492188 1776413427.1023
MEM 129.492188 1776413427.2026
MEM 129.492188 1776413427.3028
MEM 129.492188 1776413427.4061
MEM 129.492188 1776413427.5064
MEM 129.492188 1776413427.6067
MEM 129.492188 1776413427.7070
MEM 129.492188 1776413427.8079
MEM 129.492188 1776413427.9082
MEM 129.492188 1776413428.0085
MEM 47.492188 1776413428.1088
